State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /3.53,Q. 2 /2.94,Q. 3 /0.59,Q. 4 /0.59,Q. 5 /7.06,Q. 6 /1.18,Q. 7 /2.35,Q. 8 /1.76
Finished,28 September 2020  12:32 AM,28 September 2020  1:13 AM,40 mins 46 secs,18.82,3.53,2.94,0.59,0.00,7.06,1.18,2.35,1.18
Finished,25 September 2020  11:22 AM,25 September 2020  12:51 PM,1 hour 28 mins,16.47,2.94,1.18,0.59,0.00,7.06,1.18,2.35,1.18
Finished,27 September 2020  1:44 PM,27 September 2020  3:44 PM,1 hour 59 mins,17.06,3.53,2.94,0.59,0.00,7.06,1.18,1.18,0.59
Finished,22 September 2020  5:30 PM,22 September 2020  6:50 PM,1 hour 19 mins,18.24,2.94,2.94,0.59,0.59,7.06,0.59,2.35,1.18
Finished,27 September 2020  10:36 PM,27 September 2020  11:07 PM,30 mins 30 secs,16.47,1.76,2.94,0.59,0.59,7.06,1.18,1.76,0.59
Finished,26 September 2020  7:05 PM,26 September 2020  8:44 PM,1 hour 39 mins,11.76,1.18,1.18,0.00,0.00,7.06,0.59,1.76,0.00
Finished,27 September 2020  4:05 PM,27 September 2020  5:00 PM,54 mins 27 secs,14.71,1.76,2.94,0.59,0.59,4.71,1.18,2.35,0.59
Finished,27 September 2020  4:32 PM,27 September 2020  4:48 PM,15 mins 35 secs,17.65,2.94,2.94,0.59,0.59,7.06,1.18,2.35,0.00
Finished,22 September 2020  5:13 PM,22 September 2020  6:51 PM,1 hour 38 mins,14.71,1.18,1.18,0.59,0.00,7.06,1.18,2.35,1.18
Finished,27 September 2020  7:03 PM,27 September 2020  7:38 PM,35 mins 25 secs,18.82,3.53,2.94,0.59,0.00,7.06,1.18,2.35,1.18
Finished,25 September 2020  6:07 PM,25 September 2020  7:15 PM,1 hour 8 mins,10.59,1.18,0.59,0.00,0.00,7.06,1.18,0.59,0.00
Finished,21 September 2020  7:16 PM,21 September 2020  8:25 PM,1 hour 9 mins,13.53,0.59,1.18,0.59,0.00,7.06,1.18,1.76,1.18
Finished,28 September 2020  12:35 AM,28 September 2020  2:14 AM,1 hour 39 mins,19.41,3.53,2.94,0.59,0.59,7.06,1.18,2.35,1.18
Finished,28 September 2020  12:30 AM,28 September 2020  1:08 AM,37 mins 48 secs,18.82,3.53,2.94,0.59,0.00,7.06,1.18,2.35,1.18
Finished,27 September 2020  11:07 PM,27 September 2020  11:29 PM,22 mins 16 secs,18.82,3.53,2.94,0.59,0.00,7.06,1.18,2.35,1.18
Finished,24 September 2020  4:34 PM,24 September 2020  5:25 PM,51 mins 27 secs,15.29,1.76,2.94,0.00,0.00,7.06,1.18,1.76,0.59
Finished,27 September 2020  11:24 PM,28 September 2020  12:52 AM,1 hour 28 mins,16.47,1.76,2.94,0.59,0.59,7.06,1.18,1.76,0.59
Finished,27 September 2020  3:22 PM,27 September 2020  4:26 PM,1 hour 4 mins,17.06,1.76,2.94,0.59,0.00,7.06,1.18,2.35,1.18
Finished,26 September 2020  8:08 PM,26 September 2020  9:15 PM,1 hour 6 mins,17.06,1.76,2.94,0.59,0.00,7.06,1.18,2.35,1.18
Finished,28 September 2020  1:22 AM,28 September 2020  2:41 AM,1 hour 19 mins,8.82,1.18,1.76,0.59,0.00,1.76,1.18,1.18,1.18
Finished,27 September 2020  3:43 PM,27 September 2020  4:00 PM,16 mins 29 secs,17.06,3.53,2.35,0.59,0.00,7.06,1.18,1.18,1.18
Finished,22 September 2020  11:22 AM,22 September 2020  12:29 PM,1 hour 7 mins,17.06,3.53,2.35,0.59,0.00,7.06,1.18,1.76,0.59
Finished,27 September 2020  1:50 PM,27 September 2020  3:49 PM,1 hour 58 mins,14.12,2.94,1.18,0.59,0.00,7.06,1.18,0.59,0.59
Finished,27 September 2020  4:32 PM,27 September 2020  4:48 PM,16 mins 28 secs,18.24,3.53,2.94,0.59,0.59,7.06,1.18,2.35,0.00
Finished,27 September 2020  12:04 PM,27 September 2020  2:04 PM,2 hours,10.59,0.59,1.76,0.00,0.00,7.06,0.00,0.59,0.59
Finished,27 September 2020  8:14 PM,27 September 2020  10:12 PM,1 hour 58 mins,10.59,0.59,0.59,0.59,0.00,7.06,0.59,1.18,0.00
Finished,23 September 2020  4:24 AM,23 September 2020  5:23 AM,58 mins 57 secs,14.12,2.35,2.35,0.59,0.00,7.06,1.18,0.59,0.00
Finished,27 September 2020  10:34 PM,28 September 2020  12:34 AM,1 hour 59 mins,18.82,3.53,2.94,0.59,0.00,7.06,1.18,2.35,1.18
Finished,24 September 2020  1:18 PM,24 September 2020  1:54 PM,35 mins 56 secs,12.35,1.76,1.76,0.00,0.00,7.06,1.18,0.00,0.59
Finished,27 September 2020  11:04 PM,28 September 2020  12:10 AM,1 hour 6 mins,14.12,0.59,0.59,0.59,0.59,7.06,1.18,2.35,1.18
Finished,21 September 2020  4:58 PM,21 September 2020  6:57 PM,1 hour 59 mins,14.71,0.00,1.76,0.59,0.59,7.06,1.18,2.35,1.18
Finished,27 September 2020  8:14 PM,27 September 2020  8:22 PM,7 mins 33 secs,16.47,1.76,2.94,0.59,0.59,7.06,1.18,1.76,0.59
Finished,24 September 2020  8:42 PM,24 September 2020  9:10 PM,28 mins 7 secs,12.94,1.76,1.76,0.00,0.00,7.06,1.18,0.59,0.59
Finished,21 September 2020  7:50 PM,21 September 2020  9:09 PM,1 hour 19 mins,4.71,2.94,0.59,0.59,0.00,0.59,-,-,-
