State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /7.00,Q. 3 /5.00,Q. 4 /3.00
Finished,21 December 2020  10:20 AM,21 December 2020  10:26 AM,6.52,11.00,3.00,7.00,0.00,1.00
Finished,21 December 2020  9:23 AM,21 December 2020  10:29 AM,66.0,11.00,4.00,6.00,0.00,1.00
Finished,24 January 2021  6:15 PM,24 January 2021  6:23 PM,8.1,19.00,5.00,6.00,5.00,3.00
Finished,20 December 2020  10:30 PM,21 December 2020  12:18 AM,108.0,17.00,4.00,7.00,5.00,1.00
Finished,20 December 2020  11:43 PM,21 December 2020  12:00 AM,17.35,13.00,4.00,7.00,1.00,1.00
Finished,20 December 2020  10:29 PM,20 December 2020  11:12 PM,43.23,12.00,4.00,7.00,0.00,1.00
Finished,21 December 2020  12:28 AM,21 December 2020  1:50 AM,82.0,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  11:34 PM,20 December 2020  11:36 PM,2.28,13.00,3.00,6.00,3.00,1.00
Finished,16 December 2020  12:50 PM,16 December 2020  1:39 PM,49.97,4.00,1.00,2.00,0.00,1.00
Finished,21 December 2020  12:36 AM,21 December 2020  12:43 AM,7.27,12.00,4.00,7.00,0.00,1.00
Finished,18 December 2020  3:28 PM,18 December 2020  4:38 PM,69.0,7.00,1.00,5.00,0.00,1.00
Finished,21 December 2020  9:04 AM,21 December 2020  10:29 AM,84.0,11.00,4.00,6.00,0.00,1.00
Finished,20 December 2020  11:04 PM,20 December 2020  11:18 PM,14.22,10.00,3.00,6.00,0.00,1.00
Finished,16 December 2020  3:55 PM,16 December 2020  5:55 PM,120.0,8.00,2.00,4.00,2.00,0.00
Finished,21 December 2020  12:37 AM,21 December 2020  1:15 AM,38.17,16.00,4.00,7.00,3.00,2.00
Finished,20 December 2020  11:36 PM,21 December 2020  1:16 AM,99.0,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  11:51 AM,20 December 2020  12:56 PM,64.0,6.00,1.00,4.00,0.00,1.00
Finished,21 December 2020  12:53 AM,21 December 2020  2:39 AM,105.0,14.00,3.00,7.00,3.00,1.00
Finished,20 December 2020  11:22 PM,21 December 2020  12:37 AM,74.0,6.00,2.00,3.00,0.00,1.00
Finished,20 December 2020  1:04 PM,20 December 2020  1:35 PM,31.37,6.00,2.00,4.00,0.00,0.00
Finished,20 December 2020  10:34 PM,20 December 2020  11:34 PM,60.0,15.00,4.00,7.00,3.00,1.00
Finished,20 December 2020  5:41 PM,20 December 2020  6:55 PM,74.0,4.00,1.00,2.00,-,1.00
Finished,20 December 2020  10:58 PM,20 December 2020  11:35 PM,37.15,15.00,4.00,7.00,3.00,1.00
Finished,21 December 2020  12:00 AM,21 December 2020  12:55 AM,55.13,19.00,4.00,7.00,5.00,3.00
Finished,21 December 2020  12:12 AM,21 December 2020  1:01 AM,49.02,8.00,1.00,6.00,0.00,1.00
Finished,21 December 2020  2:10 AM,21 December 2020  2:38 AM,27.6,15.00,4.00,7.00,3.00,1.00
Finished,20 December 2020  8:09 PM,20 December 2020  8:52 PM,42.93,9.00,3.00,3.00,0.00,3.00
Finished,20 December 2020  11:36 PM,21 December 2020  12:53 AM,76.0,11.00,3.00,7.00,0.00,1.00
Finished,15 December 2020  2:26 PM,15 December 2020  3:44 PM,78.0,15.00,4.00,7.00,3.00,1.00
Finished,20 December 2020  11:50 PM,20 December 2020  11:59 PM,8.95,8.00,2.00,3.00,0.00,3.00
Finished,20 December 2020  4:42 PM,20 December 2020  4:49 PM,6.62,9.00,2.00,4.00,0.00,3.00
Finished,21 December 2020  4:08 AM,21 December 2020  4:31 AM,23.25,12.00,4.00,7.00,0.00,1.00
Finished,21 December 2020  10:21 AM,21 December 2020  10:44 AM,23.38,11.00,4.00,6.00,0.00,1.00
Finished,20 December 2020  6:26 PM,20 December 2020  7:21 PM,54.78,7.00,1.00,6.00,0.00,0.00
Finished,21 December 2020  1:57 AM,21 December 2020  3:30 AM,93.0,13.00,4.00,5.00,3.00,1.00
Finished,20 December 2020  9:43 PM,20 December 2020  10:07 PM,24.48,13.00,3.00,5.00,2.00,3.00
Finished,15 December 2020  2:27 PM,15 December 2020  3:44 PM,76.0,16.00,4.00,7.00,3.00,2.00
Finished,21 December 2020  8:40 AM,21 December 2020  8:49 AM,8.37,14.00,4.00,7.00,0.00,3.00
Finished,21 December 2020  8:37 AM,21 December 2020  10:13 AM,96.0,9.00,1.00,5.00,2.00,1.00
Finished,21 December 2020  3:08 AM,21 December 2020  4:05 AM,57.78,9.00,2.00,4.00,0.00,3.00
Finished,20 December 2020  11:06 PM,20 December 2020  11:31 PM,25.22,10.00,4.00,5.00,0.00,1.00
Finished,20 December 2020  6:12 PM,20 December 2020  7:05 PM,53.15,13.00,3.00,7.00,2.00,1.00
Finished,19 December 2020  2:19 AM,19 December 2020  3:50 AM,91.0,5.00,0.00,4.00,0.00,1.00
Finished,20 December 2020  7:05 PM,20 December 2020  8:03 PM,58.57,9.00,2.00,4.00,0.00,3.00
Finished,19 December 2020  12:49 PM,19 December 2020  2:18 PM,88.0,14.00,3.00,7.00,3.00,1.00
Finished,16 December 2020  9:51 AM,16 December 2020  10:30 AM,38.83,7.00,3.00,3.00,0.00,1.00
Finished,15 December 2020  2:26 PM,15 December 2020  3:44 PM,78.0,15.00,4.00,7.00,3.00,1.00
Finished,21 December 2020  9:00 AM,21 December 2020  10:38 AM,97.0,5.00,1.00,3.00,0.00,1.00
Finished,21 December 2020  5:52 AM,21 December 2020  6:46 AM,53.55,11.00,4.00,6.00,0.00,1.00
Finished,21 December 2020  4:21 AM,21 December 2020  4:33 AM,12.0,16.00,3.00,7.00,5.00,1.00
Finished,21 December 2020  8:56 AM,21 December 2020  10:33 AM,96.0,9.00,2.00,4.00,0.00,3.00
Finished,20 December 2020  11:20 PM,21 December 2020  12:04 AM,44.92,5.00,2.00,1.00,1.00,1.00
Finished,19 December 2020  7:29 PM,19 December 2020  8:22 PM,53.13,12.00,2.00,5.00,4.00,1.00
Finished,20 December 2020  5:10 PM,20 December 2020  5:39 PM,29.32,7.00,3.00,4.00,0.00,0.00
Finished,19 December 2020  6:30 PM,19 December 2020  7:40 PM,70.0,9.00,2.00,4.00,0.00,3.00
Finished,21 December 2020  12:58 AM,21 December 2020  1:51 AM,53.22,15.00,2.00,7.00,5.00,1.00
Finished,20 December 2020  9:09 PM,20 December 2020  10:37 PM,88.0,8.00,1.00,4.00,0.00,3.00
Finished,20 December 2020  11:32 PM,20 December 2020  11:47 PM,14.27,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  9:38 PM,20 December 2020  10:10 PM,31.57,9.00,2.00,4.00,0.00,3.00
Finished,21 December 2020  2:21 AM,21 December 2020  2:24 AM,2.6,9.00,2.00,4.00,0.00,3.00
Finished,21 December 2020  1:15 AM,21 December 2020  1:50 AM,34.45,9.00,2.00,4.00,0.00,3.00
Finished,20 December 2020  12:03 PM,20 December 2020  12:20 PM,17.77,14.00,2.00,7.00,4.00,1.00
Finished,21 December 2020  8:43 AM,21 December 2020  10:43 AM,119.0,5.00,1.00,3.00,0.00,1.00
Finished,15 December 2020  10:02 PM,15 December 2020  11:10 PM,68.0,11.00,4.00,6.00,-,1.00
Finished,20 December 2020  3:11 PM,20 December 2020  3:51 PM,40.77,11.00,4.00,6.00,0.00,1.00
Finished,20 December 2020  11:22 PM,21 December 2020  12:32 AM,69.0,6.00,2.00,3.00,0.00,1.00
Finished,20 December 2020  4:34 PM,20 December 2020  6:15 PM,101.0,4.00,2.00,2.00,0.00,0.00
Finished,21 December 2020  3:38 AM,21 December 2020  4:04 AM,25.33,14.00,4.00,7.00,2.00,1.00
Finished,22 December 2020  7:28 PM,22 December 2020  7:30 PM,2.35,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  8:31 PM,20 December 2020  9:31 PM,60.0,9.00,2.00,4.00,0.00,3.00
Finished,21 December 2020  12:16 AM,21 December 2020  1:57 AM,101.0,12.00,4.00,6.00,0.00,2.00
Finished,21 December 2020  8:58 AM,21 December 2020  10:15 AM,77.0,10.00,2.00,6.00,0.00,2.00
Finished,20 December 2020  8:20 PM,20 December 2020  10:17 PM,117.0,12.00,3.00,7.00,1.00,1.00
Finished,16 December 2020  12:28 PM,16 December 2020  1:34 PM,65.0,7.00,2.00,3.00,0.00,2.00
Finished,20 December 2020  6:05 PM,20 December 2020  7:38 PM,93.0,14.00,4.00,6.00,3.00,1.00
Finished,19 December 2020  5:53 PM,19 December 2020  7:29 PM,96.0,5.00,2.00,2.00,0.00,1.00
Finished,21 December 2020  8:03 AM,21 December 2020  8:40 AM,36.23,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  10:45 PM,21 December 2020  12:05 AM,80.0,15.00,4.00,7.00,3.00,1.00
Finished,20 December 2020  7:10 PM,20 December 2020  9:08 PM,117.0,5.00,2.00,2.00,0.00,1.00
Finished,21 December 2020  2:01 AM,21 December 2020  2:53 AM,52.57,8.00,3.00,5.00,0.00,0.00
Finished,21 December 2020  7:51 AM,21 December 2020  9:37 AM,105.0,13.00,4.00,5.00,3.00,1.00
Finished,21 December 2020  12:36 AM,21 December 2020  1:35 AM,58.8,10.00,2.00,5.00,0.00,3.00
Finished,20 December 2020  6:12 PM,20 December 2020  7:05 PM,53.22,12.00,3.00,6.00,2.00,1.00
Finished,20 December 2020  11:44 PM,21 December 2020  1:07 AM,82.0,12.00,4.00,7.00,0.00,1.00
Finished,19 December 2020  7:30 PM,19 December 2020  8:22 PM,52.77,14.00,2.00,7.00,4.00,1.00
Finished,20 December 2020  7:35 PM,20 December 2020  9:34 PM,119.0,13.00,4.00,6.00,2.00,1.00
Finished,21 December 2020  4:08 AM,21 December 2020  4:35 AM,26.9,12.00,4.00,7.00,0.00,1.00
Finished,21 December 2020  1:59 AM,21 December 2020  2:11 AM,12.47,17.00,4.00,7.00,5.00,1.00
Finished,21 December 2020  1:04 AM,21 December 2020  1:14 AM,9.32,9.00,2.00,4.00,0.00,3.00
Finished,21 December 2020  1:39 AM,21 December 2020  2:19 AM,40.12,12.00,4.00,7.00,0.00,1.00
Finished,21 December 2020  4:40 AM,21 December 2020  5:11 AM,30.97,8.00,2.00,5.00,0.00,1.00
Finished,20 December 2020  10:28 PM,20 December 2020  11:54 PM,85.0,15.00,3.00,7.00,3.00,2.00
Finished,20 December 2020  10:14 PM,20 December 2020  11:37 PM,83.0,15.00,4.00,7.00,3.00,1.00
Finished,21 December 2020  7:17 AM,21 December 2020  7:23 AM,5.93,10.00,2.00,5.00,0.00,3.00
Finished,16 December 2020  12:48 PM,16 December 2020  1:42 PM,53.67,7.00,1.00,5.00,0.00,1.00
Finished,21 December 2020  3:48 AM,21 December 2020  4:50 AM,62.0,17.00,4.00,7.00,3.00,3.00
Finished,21 December 2020  9:14 AM,21 December 2020  10:39 AM,84.0,15.00,4.00,7.00,3.00,1.00
Finished,20 December 2020  8:05 PM,20 December 2020  9:46 PM,100.0,14.00,4.00,6.00,3.00,1.00
Finished,20 December 2020  9:31 PM,20 December 2020  11:17 PM,105.0,12.00,4.00,7.00,0.00,1.00
Finished,20 December 2020  11:30 PM,21 December 2020  12:17 AM,46.7,11.00,3.00,7.00,0.00,1.00
Finished,21 December 2020  12:36 AM,21 December 2020  12:48 AM,11.42,17.00,4.00,7.00,5.00,1.00
Finished,20 December 2020  10:44 PM,20 December 2020  11:40 PM,55.73,14.00,3.00,7.00,3.00,1.00
Finished,20 December 2020  10:13 AM,20 December 2020  11:17 AM,63.0,10.00,3.00,5.00,0.00,2.00
Finished,20 December 2020  10:44 PM,21 December 2020  12:07 AM,82.0,14.00,3.00,7.00,3.00,1.00
Finished,20 December 2020  7:35 PM,20 December 2020  9:34 PM,119.0,12.00,4.00,5.00,2.00,1.00
